species,id,age_bin,total_scans,alone_scans
bonobo,Gwe,0--18,68,0
bonobo,Iri,18--36,88,0
bonobo,Iri,36--54,40,1
bonobo,Nin,18--36,110,0
bonobo,Olg,0--18,70,0
bonobo,Olg,36--54,84,1
bonobo,Pau,0--18,48,2
bonobo,Pau,18--36,27,2
bonobo,Rio,0--18,30,0
bonobo,Sus,36--54,119,0
bonobo,Uma,0--18,70,0
bonobo,Uma,36--54,25,1
bonobo,Wma,18--36,93,0
bonobo,Zoe,0--18,30,3
bonobo,Zoe,18--36,79,0
chimpanzee,BAH,18--36,93,6
chimpanzee,BAH,36--54,62,6
chimpanzee,DL,0--18,96,16
chimpanzee,EZA,36--54,25,3
chimpanzee,FN,18--36,79,22
chimpanzee,FN,36--54,73,27
chimpanzee,GA,0--18,57,13
chimpanzee,GLD,18--36,137,30
chimpanzee,GLD,36--54,46,0
chimpanzee,GLI,0--18,48,10
chimpanzee,GLI,18--36,88,13
chimpanzee,GLI,36--54,62,21
chimpanzee,GM,0--18,68,10
chimpanzee,TG,0--18,17,8
chimpanzee,TG,0--18,30,2
